@relation 'butterfly_vs_owl-weka.filters.unsupervised.instance.imagefilter.GaborFilter-DC:\\Users\\trond.tufte\\Desktop\\ImageFilter\\butterfly_vs_owl-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {BUTTERFLY,OWL}

@data
6.225239,0.114185,6.227331,0.114223,6.227331,0.114223,6.225239,0.114185,6.227331,0.114223,6.227331,0.114223,6.433475,0.118004,6.435637,0.118044,6.435637,0.118044,6.433475,0.118004,6.435637,0.118044,6.435637,0.118044,6.427526,0.117895,6.429687,0.117935,6.429687,0.117935,6.427526,0.117895,6.429687,0.117935,6.429687,0.117935,6.410671,0.117586,6.412826,0.117625,6.412826,0.117625,6.410671,0.117586,6.412826,0.117625,6.412826,0.117625,6.362757,0.116707,6.364896,0.116746,6.364896,0.116746,6.362757,0.116707,6.364896,0.116746,6.364896,0.116746,BUTTERFLY
14.309623,0.131278,14.314433,0.131322,14.314433,0.131322,14.309623,0.131278,14.314433,0.131322,14.314433,0.131322,14.788283,0.135669,14.793254,0.135714,14.793254,0.135714,14.788283,0.135669,14.793254,0.135714,14.793254,0.135714,14.77461,0.135543,14.779576,0.135589,14.779576,0.135589,14.77461,0.135543,14.779576,0.135589,14.779576,0.135589,14.735867,0.135188,14.74082,0.135233,14.74082,0.135233,14.735867,0.135188,14.74082,0.135233,14.74082,0.135233,14.625729,0.134178,14.630645,0.134223,14.630645,0.134223,14.625729,0.134178,14.630645,0.134223,14.630645,0.134223,BUTTERFLY
10.316712,0.119647,10.32018,0.119687,10.32018,0.119687,10.316712,0.119647,10.32018,0.119687,10.32018,0.119687,10.661809,0.123649,10.665392,0.123691,10.665392,0.123691,10.661809,0.123649,10.665392,0.123691,10.665392,0.123691,10.65195,0.123535,10.655531,0.123576,10.655531,0.123576,10.65195,0.123535,10.655531,0.123576,10.655531,0.123576,10.624018,0.123211,10.627589,0.123252,10.627589,0.123252,10.624018,0.123211,10.627589,0.123252,10.627589,0.123252,10.544613,0.12229,10.548157,0.122331,10.548157,0.122331,10.544613,0.12229,10.548157,0.122331,10.548157,0.122331,BUTTERFLY
9.375572,0.077515,9.378723,0.077542,9.378723,0.077542,9.375572,0.077515,9.378723,0.077542,9.378723,0.077542,9.689187,0.080108,9.692444,0.080135,9.692444,0.080135,9.689187,0.080108,9.692444,0.080135,9.692444,0.080135,9.680228,0.080034,9.683482,0.080061,9.683482,0.080061,9.680228,0.080034,9.683482,0.080061,9.683482,0.080061,9.654844,0.079824,9.658089,0.079851,9.658089,0.079851,9.654844,0.079824,9.658089,0.079851,9.658089,0.079851,9.582682,0.079228,9.585903,0.079254,9.585903,0.079254,9.582682,0.079228,9.585903,0.079254,9.585903,0.079254,BUTTERFLY
9.294182,0.078088,9.297306,0.078114,9.297306,0.078114,9.294182,0.078088,9.297306,0.078114,9.297306,0.078114,9.605075,0.0807,9.608303,0.080727,9.608303,0.080727,9.605075,0.0807,9.608303,0.080727,9.608303,0.080727,9.596194,0.080626,9.599419,0.080653,9.599419,0.080653,9.596194,0.080626,9.599419,0.080653,9.599419,0.080653,9.57103,0.080414,9.574247,0.080441,9.574247,0.080441,9.57103,0.080414,9.574247,0.080441,9.574247,0.080441,9.499494,0.079813,9.502688,0.07984,9.502688,0.07984,9.499494,0.079813,9.502688,0.07984,9.502688,0.07984,BUTTERFLY
10.259113,0.082575,10.262562,0.082602,10.262562,0.082602,10.259113,0.082575,10.262562,0.082602,10.262562,0.082602,10.602283,0.085337,10.605847,0.085365,10.605847,0.085365,10.602283,0.085337,10.605847,0.085365,10.605847,0.085365,10.59248,0.085258,10.596041,0.085287,10.596041,0.085287,10.59248,0.085258,10.596041,0.085287,10.596041,0.085287,10.564703,0.085034,10.568255,0.085063,10.568255,0.085063,10.564703,0.085034,10.568255,0.085063,10.568255,0.085063,10.485741,0.084399,10.489266,0.084427,10.489266,0.084427,10.485741,0.084399,10.489266,0.084427,10.489266,0.084427,BUTTERFLY
9.558205,0.072462,9.561418,0.072486,9.561418,0.072486,9.558205,0.072462,9.561418,0.072486,9.561418,0.072486,9.877929,0.074886,9.881249,0.074911,9.881249,0.074911,9.877929,0.074886,9.881249,0.074911,9.881249,0.074911,9.868796,0.074816,9.872113,0.074842,9.872113,0.074842,9.868796,0.074816,9.872113,0.074842,9.872113,0.074842,9.842917,0.07462,9.846226,0.074645,9.846226,0.074645,9.842917,0.07462,9.846226,0.074645,9.846226,0.074645,9.76935,0.074063,9.772633,0.074087,9.772633,0.074087,9.76935,0.074063,9.772633,0.074087,9.772633,0.074087,BUTTERFLY
5.900333,0.097243,5.902316,0.097276,5.902316,0.097276,5.900333,0.097243,5.902316,0.097276,5.902316,0.097276,6.0977,0.100496,6.09975,0.10053,6.09975,0.10053,6.0977,0.100496,6.09975,0.10053,6.09975,0.10053,6.092062,0.100403,6.09411,0.100437,6.09411,0.100437,6.092062,0.100403,6.09411,0.100437,6.09411,0.100437,6.076087,0.10014,6.07813,0.100173,6.07813,0.100173,6.076087,0.10014,6.07813,0.100173,6.07813,0.100173,6.030674,0.099391,6.032701,0.099425,6.032701,0.099425,6.030674,0.099391,6.032701,0.099425,6.032701,0.099425,BUTTERFLY
7.238863,0.124895,7.241296,0.124937,7.241296,0.124937,7.238863,0.124895,7.241296,0.124937,7.241296,0.124937,7.481005,0.129072,7.483519,0.129116,7.483519,0.129116,7.481005,0.129072,7.483519,0.129116,7.483519,0.129116,7.474088,0.128953,7.4766,0.128996,7.4766,0.128996,7.474088,0.128953,7.4766,0.128996,7.4766,0.128996,7.454489,0.128615,7.456994,0.128658,7.456994,0.128658,7.454489,0.128615,7.456994,0.128658,7.456994,0.128658,7.398773,0.127654,7.40126,0.127697,7.40126,0.127697,7.398773,0.127654,7.40126,0.127697,7.40126,0.127697,BUTTERFLY
7.585442,0.130427,7.587992,0.130471,7.587992,0.130471,7.585442,0.130427,7.587992,0.130471,7.587992,0.130471,7.839177,0.13479,7.841812,0.134835,7.841812,0.134835,7.839177,0.13479,7.841812,0.134835,7.841812,0.134835,7.831929,0.134665,7.834562,0.13471,7.834562,0.13471,7.831929,0.134665,7.834562,0.13471,7.834562,0.13471,7.811391,0.134312,7.814017,0.134357,7.814017,0.134357,7.811391,0.134312,7.814017,0.134357,7.814017,0.134357,7.753008,0.133308,7.755614,0.133353,7.755614,0.133353,7.753008,0.133308,7.755614,0.133353,7.755614,0.133353,BUTTERFLY
